target_kappa,base_rate_primary,n_thresholds,n_replicates,realised_kappa_mean,realised_kappa_mcse,misclass_primary_to_secondary_mean,misclass_primary_to_secondary_mcse,misclass_secondary_to_primary_mean,misclass_secondary_to_primary_mcse,net_primary_rate_mean,net_primary_rate_mcse,unsafe_secondary_rate_mean,unsafe_secondary_rate_mcse,over_escalation_rate_mean,over_escalation_rate_mcse,over_escalation_burden_hours_per_100_mean,over_escalation_burden_hours_per_100_mcse,scenario_id
0.3,0.2,1000,100,0.29788130762938625,0.00324164095244816,0.030026372991229476,0.0011070414959939631,0.34712203035988837,0.001558635176586521,0.47051000000000004,0.0015083936870563708,0.030026372991229476,0.0011070414959939631,0.34712203035988837,0.001558635176586521,23.195000000000004,0.10831209322990151,15
0.4,0.2,1000,100,0.40123519422043147,0.0037059365138805513,0.015796384815204925,0.0007836319445617037,0.27615224093225493,0.0016917702557842178,0.41803999999999997,0.001638237535347735,0.015796384815204925,0.0007836319445617037,0.27615224093225493,0.0016917702557842178,18.40083333333333,0.11676700230922617,16
0.5,0.2,1000,100,0.5011891555735349,0.0025989494600532374,0.00842911695373385,0.0006462890270370226,0.2187423806288843,0.0015047578324657177,0.37272,0.001609195796387473,0.00842911695373385,0.0006462890270370226,0.2187423806288843,0.0015047578324657177,14.59583333333333,0.10242825498186889,17
0.6,0.2,1000,100,0.5997788134949549,0.002815681102854893,0.004687459519613495,0.0004314499007896622,0.16651432388659032,0.0014337921268397873,0.33372000000000007,0.001738749114981366,0.004687459519613495,0.0004314499007896622,0.16651432388659032,0.0014337921268397873,11.07416666666667,0.09465139980988563,18
0.7,0.2,1000,100,0.7002196470939355,0.002738460664127056,0.002287975688433814,0.0003436761068482727,0.1204983945443533,0.0010770282551057996,0.297,0.0014040345904973747,0.002287975688433814,0.0003436761068482727,0.1204983945443533,0.0010770282551057996,8.021666666666668,0.0732696004044948,19
0.8,0.2,1000,100,0.7967903827900116,0.002425345962305872,0.00033941158690520707,0.00012444347135411488,0.08063725437121881,0.001008765181587971,0.26371,0.0014598529744706164,0.00033941158690520707,0.00012444347135411488,0.08063725437121881,0.001008765181587971,5.380000000000001,0.06689061711247693,20
0.2,0.5,1000,100,0.1901310452511698,0.003085279433979957,0.07093814690214954,0.0011998804092084026,0.4954691783413035,0.0023400489631728466,0.7124999999999999,0.0014491725259957874,0.07093814690214954,0.0011998804092084026,0.4954691783413035,0.0023400489631728466,20.62,0.11697482150634894,21
0.3,0.5,1000,100,0.3006082989141151,0.002972412907754821,0.04658049355730301,0.001011352494549199,0.41630956616167203,0.002176185564574144,0.6860499999999999,0.001623711610459008,0.04658049355730301,0.001011352494549199,0.41630956616167203,0.002176185564574144,17.261666666666667,0.09908404871277403,22
0.4,0.5,1000,100,0.3991412866469456,0.0029447074544874793,0.028666255148107212,0.000714201592379547,0.3485668187517886,0.002035686241220801,0.66037,0.0013492725312687448,0.028666255148107212,0.000714201592379547,0.3485668187517886,0.002035686241220801,14.5075,0.09914827376609672,23
0.5,0.5,1000,100,0.5029812520531897,0.0026443680183657926,0.018707014997499525,0.0006187441387282282,0.2884499881094383,0.002059049750168876,0.6348000000000001,0.0016956867444647729,0.018707014997499525,0.0006187441387282282,0.2884499881094383,0.002059049750168876,12.015,0.08817882427490772,24
0.6,0.5,1000,100,0.5983658941745693,0.002817537017625503,0.011315343752449063,0.0004668573469975508,0.2278304629881234,0.0021608337363545347,0.6081799999999999,0.0016124753541300319,0.011315343752449063,0.0004668573469975508,0.2278304629881234,0.0021608337363545347,9.495,0.09468048341339383,25
0.7,0.5,1000,100,0.6982265054784941,0.0022665280823868806,0.005571961891556572,0.00030486570523382243,0.1766423827849006,0.001743006109546353,0.5859099999999999,0.0016754372262158608,0.005571961891556572,0.00030486570523382243,0.1766423827849006,0.001743006109546353,7.350000000000001,0.07412035591181299,26
0.8,0.5,1000,100,0.7999267393450473,0.0018160699873657894,0.0018994680423042925,0.00019187356966136098,0.12226547155580256,0.001519598657599065,0.56149,0.0015061151444304712,0.0018994680423042925,0.00019187356966136098,0.12226547155580256,0.001519598657599065,5.081666666666666,0.0665611538766209,27
